bin,bin_lower,bin_upper,n,mean_predicted_risk,observed_at_risk_rate,absolute_gap
1,0.0,0.1,435,0.0762961208820343,0.052873563218390804,0.023422557663643498
2,0.1,0.2,1003,0.14895766973495483,0.13858424725822532,0.01037342247672951
3,0.2,0.30000000000000004,920,0.2517555058002472,0.2391304347826087,0.01262507101763849
4,0.30000000000000004,0.4,670,0.3449394702911377,0.3522388059701492,0.007299335679011532
5,0.4,0.5,423,0.4454803764820099,0.4491725768321513,0.0036922003501413947
6,0.5,0.6000000000000001,375,0.5487866997718811,0.5093333333333333,0.0394533664385478
7,0.6000000000000001,0.7000000000000001,318,0.6484049558639526,0.6635220125786163,0.01511705671466368
8,0.7000000000000001,0.8,312,0.7520148158073425,0.7756410256410257,0.02362620983368313
9,0.8,0.9,309,0.8482427000999451,0.8543689320388349,0.006126231938889837
10,0.9,1.0,1754,0.9819551706314087,0.984036488027366,0.002081317395957294
