validation,prediction_window,feature_group,model,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
stratified_student_group_train_test,day_7,demographic_only,XGBoost,0.6211075318300353,0.6357541899441341,0.6612434631028472,0.6482483622899459,0.6596125552991332,0.6711683980597183,0.6187270289189895,1773,1304,1166,2276
stratified_student_group_train_test,day_7,vle_behavior_only,XGBoost,0.6751035434882651,0.7028186274509803,0.6664729808251016,0.6841634357291977,0.7430323139364863,0.7579831232784434,0.6756154309390376,2107,970,1148,2294
stratified_student_group_train_test,day_7,assessment_only,XGBoost,0.5279950912716674,0.5279950912716674,1.0,0.6910952715590805,0.5,0.5279950912716674,0.5,0,3077,0,3442
stratified_student_group_train_test,day_7,demographic_vle,XGBoost,0.7027151403589508,0.7326732673267327,0.6879721092388147,0.7096194186394965,0.7789491092182312,0.8037004457739649,0.7035895645316596,2213,864,1074,2368
stratified_student_group_train_test,day_7,demographic_vle_assessment,XGBoost,0.7073170731707317,0.7365823565700185,0.6937826844857641,0.7145421903052065,0.7789676154377372,0.8041911779170687,0.7081198115311498,2223,854,1054,2388
stratified_student_group_train_test,day_14,demographic_only,XGBoost,0.6211075318300353,0.6355270496374791,0.6621150493898896,0.6485486624928856,0.6583357205727034,0.6714085190813539,0.618675334249706,1770,1307,1163,2279
stratified_student_group_train_test,day_14,vle_behavior_only,XGBoost,0.6899831262463568,0.7254839733417963,0.664148750726322,0.6934627635370848,0.7633744731628658,0.7906172551642031,0.6915153893378116,2212,865,1156,2286
stratified_student_group_train_test,day_14,assessment_only,XGBoost,0.5381193434575855,0.5340496128930321,0.9819872167344567,0.6918432094974926,0.5240337251301432,0.5465226996626236,0.511793088380228,128,2949,62,3380
stratified_student_group_train_test,day_14,demographic_vle,XGBoost,0.7131461880656542,0.7465495608531995,0.6914584543869843,0.717948717948718,0.7922261886799722,0.824310163656357,0.7144325096114317,2269,808,1062,2380
stratified_student_group_train_test,day_14,demographic_vle_assessment,XGBoost,0.7116122104617273,0.7465277777777778,0.6871005229517723,0.7155824508320726,0.7927083417917458,0.8254951083251584,0.7130660235818335,2274,803,1077,2365
stratified_student_group_train_test,day_28,demographic_only,XGBoost,0.619726951986501,0.6344596481429768,0.6600813480534573,0.6470169443257867,0.6589129068984199,0.6718281289333156,0.6173334917062867,1768,1309,1170,2272
stratified_student_group_train_test,day_28,vle_behavior_only,XGBoost,0.7096180395766222,0.7508908325234855,0.673445671121441,0.7100627967529484,0.7941021150531666,0.8286905118028831,0.711763459545121,2308,769,1124,2318
stratified_student_group_train_test,day_28,assessment_only,XGBoost,0.7248044178554993,0.8241542092840283,0.6086577571179547,0.7002005347593583,0.796063727111064,0.8361077812002313,0.73169319445108,2630,447,1347,2095
stratified_student_group_train_test,day_28,demographic_vle,XGBoost,0.7338548857186685,0.7725966145001597,0.7027890761185357,0.7360413814087936,0.8173613643389305,0.8505472661451849,0.7356974304869572,2365,712,1023,2419
stratified_student_group_train_test,day_28,demographic_vle_assessment,XGBoost,0.7636140512348519,0.81630615640599,0.7126670540383498,0.7609740964789825,0.8503195721966335,0.8832185448773401,0.7666357694631138,2525,552,989,2453
stratified_student_group_train_test,day_56,demographic_only,XGBoost,0.6194201564657156,0.6338067390698969,0.6612434631028472,0.6472344660884403,0.658708347079237,0.6707936428224462,0.6169395736053722,1762,1315,1166,2276
stratified_student_group_train_test,day_56,vle_behavior_only,XGBoost,0.752416014726185,0.8198040587823653,0.6807088901801278,0.7438095238095238,0.8389403244291349,0.8757945592173886,0.7566690372252605,2562,515,1099,2343
stratified_student_group_train_test,day_56,assessment_only,XGBoost,0.7953673876361406,0.866481223922114,0.7239976757699013,0.7888572333016778,0.8748041031687747,0.9019258000234883,0.7996003978459516,2693,384,950,2492
stratified_student_group_train_test,day_56,demographic_vle,XGBoost,0.7735849056603774,0.8309764309764309,0.7170249854735619,0.7698066126013724,0.8530719946702087,0.8882076116219266,0.7769395320607979,2575,502,974,2468
stratified_student_group_train_test,day_56,demographic_vle_assessment,XGBoost,0.8094799815922687,0.8585397653194263,0.7652527600232423,0.8092165898617512,0.8918490866897415,0.9185809528222727,0.812103143092544,2643,434,808,2634
stratified_student_group_train_test,full,demographic_only,XGBoost,0.6204939407884645,0.6345191773207337,0.6632771644392795,0.6485795454545454,0.6596227053940154,0.6721860046123783,0.6179564242735884,1762,1315,1159,2283
stratified_student_group_train_test,full,vle_behavior_only,XGBoost,0.9239147108452217,0.9730250481695568,0.8803021499128414,0.9243441122635754,0.9672708066086844,0.9775490616226298,0.9265014161978897,2993,84,412,3030
stratified_student_group_train_test,full,assessment_only,XGBoost,0.9366467249578156,0.9687403280718044,0.9093550261475886,0.938108796643189,0.9830748348083861,0.9873322850982235,0.9382654233760368,2976,101,312,3130
stratified_student_group_train_test,full,demographic_vle,XGBoost,0.9233011198036508,0.9729903536977492,0.8791400348634515,0.9236874236874237,0.9680169093971372,0.9779468262275905,0.9259203586731948,2993,84,416,3026
stratified_student_group_train_test,full,demographic_vle_assessment,XGBoost,0.9461573861021629,0.9780389730900093,0.9186519465427078,0.9474157303370786,0.985792227652182,0.9894895678678277,0.9477887617016432,3006,71,280,3162
