fold,held_out_course_presentation,n_test,at_risk_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
1,AAA_2013J,383,0.2741514360313316,0.8015665796344648,0.7230769230769231,0.44761904761904764,0.5529411764705883,0.8435080507022954,0.7221880252172331,0.6914354230900993,260,18,58,47
2,AAA_2014J,365,0.30684931506849317,0.7561643835616438,0.6116504854368932,0.5625,0.586046511627907,0.8143704121964992,0.708623624164517,0.7021986166007905,213,40,49,63
3,BBB_2013B,1767,0.545557441992077,0.6836445953593662,0.6384142173615858,0.9688796680497925,0.7696744952616399,0.8898218816368081,0.9208287066644687,0.6550500457309983,274,529,30,934
4,BBB_2013J,2237,0.5207867679928475,0.8162717925793473,0.8583650190114068,0.7751072961373391,0.8146143437077131,0.8939802062648132,0.920578521623039,0.8180573794119531,923,149,262,903
5,BBB_2014B,1613,0.5492870427774333,0.8140111593304402,0.8775773195876289,0.7686230248306998,0.8194945848375451,0.8932562464874667,0.9298944936637439,0.8189745110398341,632,95,205,681
6,BBB_2014J,2292,0.4973821989528796,0.7011343804537522,0.6536124240378123,0.8491228070175438,0.7386493704692866,0.8586638036062378,0.892059229330181,0.7019051535087719,639,513,172,968
7,CCC_2014B,1936,0.6575413223140496,0.8336776859504132,0.8535315985130112,0.9018067556952082,0.8770053475935828,0.9247226596240042,0.9641689092534741,0.8023362586922496,466,197,125,1148
8,CCC_2014J,2498,0.5936749399519615,0.8098478783026422,0.8631123919308358,0.8078219824679703,0.8345524207593173,0.8938777408328875,0.9344965713885794,0.8103149321206846,825,190,285,1198
9,DDD_2013B,1303,0.6085955487336915,0.8119723714504988,0.8682795698924731,0.8146279949558638,0.8405985686402082,0.8966050985337388,0.9398563035994472,0.8112355661053829,412,98,147,646
10,DDD_2013J,1938,0.5722394220846233,0.8188854489164087,0.8859470468431772,0.7844905320108205,0.8321377331420373,0.9027259150649202,0.9338475945231195,0.8246939994191618,717,112,239,870
11,DDD_2014B,1228,0.6099348534201955,0.8159609120521173,0.8817518248175182,0.8064085447263017,0.8423988842398884,0.8990832592377869,0.9396811009237596,0.8186531241376811,398,81,145,604
12,DDD_2014J,1803,0.5607321131447587,0.79312257348863,0.9121447028423773,0.6983184965380811,0.7910364145658263,0.885330805583031,0.9234518597732586,0.8062299553397476,724,68,305,706
13,EEE_2013J,1052,0.4211026615969582,0.8231939163498099,0.8599439775910365,0.6930022573363431,0.7675,0.8942276684940341,0.8926598636137193,0.8054502255483029,559,50,136,307
14,EEE_2014B,694,0.48559077809798273,0.8069164265129684,0.9356223175965666,0.6468842729970327,0.7649122807017544,0.8969819381758639,0.9152139438572738,0.8024337331371718,342,15,119,218
15,EEE_2014J,1188,0.42424242424242425,0.8324915824915825,0.8710462287104623,0.7103174603174603,0.7825136612021858,0.8954040193075281,0.8971144916218827,0.8164160401002507,631,53,146,358
16,FFF_2013B,1614,0.5154894671623296,0.7850061957868649,0.8702290076335878,0.6850961538461539,0.7666442501681238,0.8757300683651386,0.8996300620062028,0.7882002508361203,697,85,262,570
17,FFF_2013J,2283,0.5203679369250985,0.80946123521682,0.8346666666666667,0.7904040404040404,0.8119325551232166,0.8920345002536785,0.9191566597450458,0.8102705133527052,909,186,249,939
18,FFF_2014B,1500,0.564,0.8006666666666666,0.8890469416785206,0.7387706855791962,0.8069722401549386,0.8894184541754325,0.9249686284006384,0.8097523152666624,576,78,221,625
19,FFF_2014J,2365,0.5276955602536998,0.8405919661733615,0.9257086999022482,0.7588141025641025,0.8339938353148393,0.9160870463466704,0.9384126095200747,0.8453873556688014,1041,76,301,947
20,GGG_2013J,952,0.37815126050420167,0.6911764705882353,0.6122448979591837,0.5,0.5504587155963303,0.696168825075075,0.5929271604049213,0.6537162162162162,478,114,180,180
21,GGG_2014B,833,0.4261704681872749,0.6914765906362546,0.7024793388429752,0.4788732394366197,0.5695142378559463,0.7464611939418939,0.6848781457143425,0.6641228121869291,406,72,185,170
22,GGG_2014J,749,0.40720961281708945,0.7249666221628839,0.7704918032786885,0.46229508196721314,0.5778688524590164,0.7603123615418698,0.7224331696783219,0.6838502436863092,402,42,164,141
